,,,,Wickets,,,,,,,Year,
39,6,8,109,3,2.79,36.33,78,,v Australia,Brisbane,12/04/87,Test # 1082
42,6,16,68,5,1.61,13.6,50.4,,v Australia,Adelaide,12/11/87,Test # 1084
75,6,20,176,10,2.34,17.6,45,,v Australia,Melbourne,12/26/87,Test # 1087
18,6,3,50,0,2.77,-,-,,v England,Christchurch,02/12/88,Test # 1091
30,6,10,65,5,2.16,13,36,,v India,Bengaluru,11/12/88,Test # 1107
36.5,6,11,88,10,2.38,8.8,22.1,,v India,Mumbai,11/24/88,Test # 1109
34,6,7,99,3,2.91,33,68,,v India,Hyderabad (Deccan),12/02/88,Test # 1111
54,6,14,101,4,1.87,25.25,81,,v Pakistan,Wellington,02/10/89,Test # 1115
28,6,7,68,1,2.42,68,168,,v Pakistan,Auckland,02/24/89,Test # 1116
36.5,6,4,114,7,3.09,16.28,31.5,,v India,Christchurch,02/02/90,Test # 1136
35,6,11,73,3,2.08,24.33,70,,v India,Napier,02/09/90,Test # 1138
34,6,9,132,2,3.88,66,102,,v India,Auckland,02/22/90,Test # 1139
41.2,6,8,109,7,2.63,15.57,35.4,,v Australia,Wellington,03/15/90,Test # 1141
33,6,6,89,4,2.69,22.25,49.5,,v England,Nottingham,06/07/90,Test # 1145
42,6,7,145,4,3.45,36.25,63,,v England,Lord's,06/21/90,Test # 1146
58.5,6,11,150,8,2.54,18.75,44.1,,v England,Birmingham,07/05/90,Test # 1147
